edad,anim,pito,walo,siyam,sampu,labing isa,labing dalawa,six years old,seven years old,eight years old,nine years old,ten years old,eleven years old,twelve years old,,,,,,,,,,
kasarian,babae,lalaki,,,,,,,,,,,,,,,,,,,,,,
nag-aaral ka pa ba?,oo,hindi na,hindi,,,,,,,,,,,,,,,,,,,,,
baitang,grade one,grade two,grade three,grade four,grade five,grade six,grade seven,,,,,,,,,,,,,,,,,
gaano ka katangkad?,hindi ko alam,hindi ko matandaan,hindi pa nakakapaguskat,,,,,,,,,,,,,,,,,,,,,
ano ang timbang mo? ang timbang mo ba ay nadagdagan o nabawasan,nabawasan,pareho lang,pumayat,hindi pa nakakapagtimbang,nadagdagan,tumaba,nagkalaman,,,,,,,,,,,,,,,,,
mga iniinom na gamot or bitamina,hindi ko matandaan,vitamins,pedzinc,gummies,i forgot,"ceelin plus, growee",ceelin,vitamin c,propan tlc,ceelin chewables,vitamin c,vitamin a,"nutriplex, growee",cherifer,appetazon nova c,"fern c, pryze kids","celermin tableta, ceelin plus","b complex, lysine iron",neurolem,nutriplex,cherifer immunomax,alka c,nutrilyn,scotts
araw-araw mo ba ito iniinom?,hindi din po,arawaraw,oo,gabigabi,,,,,,,,,,,,,,,,,,,,
"meron ka bang allergy sa, pagkain, gamot, alikabok, polen,buhok ng hayop?",pagkain,gamot,alikabok,polen,buhok ng hayop,wala po,hindi ko alam,,,,,,,,,,,,,,,,,
pagkain,patis,bawang kapag hinihiwa,dilis,mani,wala po,hipon,malalansa,,,,,,,,,,,,,,,,,
gamot,wala po,hindi ko alam,meron pero nakalimutan ko na,biogesic,,,,,,,,,,,,,,,,,,,,
buhok ng hayop?,pusa,hamster,aso,pusa,manok,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,
kapag nakalanghap o nakakain ng mga bagay na ikaw ay may alerdyi anu ang iyong nararamdaman?,hirap huminga,nagpapantal,pangangati,pamamaga,pamumula,pagbaing,pangangati ng ilong,pag ubo,panghihina,pagsakit ng ulo,nasusuka at pagsusuka,pagtatae,hindi ko alam,nakalimutan ko na,,,,,,,,,,
kailan mo huling naramdaman ang mga sintomas ng iyong alerdyi?,ngayon,kahapon,nung isang araw,nung isang linggo,nakalipas na taon,nakalimutan ko na,nung baby pa ako,,,,,,,,,,,,,,,,,
gaano katagal tumagal ang sintomas?,tatlumpu segundo,tatlong minuto,ilang minuto,isang oras,isang araw,dalawang araw,tatlong araw,nakalimutan ko na,hindi ko alam,,,,,,,,,,,,,,,
ano ang ginagawa mo kapag ikaw ay may alerdyi?,umiinom ng madaming tubig,mag inhaler,pinapabayaan lang,wala,hindi ko alam,,,,,,,,,,,,,,,,,,,
anong gamot ang inilalagay o iniinom mo para sa iyong alerdyi?,antihistamine,wala,hindi ko alam,bronchodilator,,,,,,,,,,,,,,,,,,,,
ano ang ginagawa mo kapag ikaw ay may alerdy?,spray sa ilong,pangpahid sa balat,yelo,wala,hindi ko alam,,,,,,,,,,,,,,,,,,,
nabawasan o nawala ba ang mga sintomas matapos uminom ng gamot?,oo,siguro,hindi ko alam,,,,,,,,,,,,,,,,,,,,,
ikaw ba ay may ubo?,meron,oo,wala,wala naman,wala po,,,,,,,,,,,,,,,,,,,
kailan ito nagsimula?,ngayon lang,kahapon,nung isang araw,nung isang linggo,,,,,,,,,,,,,,,,,,,,
ilang araw ka na may ubo?,tatlong araw na,dalawang araw na,isang araw,,,,,,,,,,,,,,,,,,,,,
may plema?,opo,walang plema,hindi ko alam,,,,,,,,,,,,,,,,,,,,,
"anong kulay ito? (clear, green, red)",yellow,white,green,,,,,,,,,,,,,,,,,,,,,
sinisipon at nilalagnat ka rin ba?,may lagnat at sipon,may lagnat,may sipon,walang lagnat,walang sipon,wala,hindi ko alam,,,,,,,,,,,,,,,,,
anu ang ginawa mo para mawala ang iyong ubo?,umiinom ng maraming tubig,pahinga,inom ng gamot,kain ng prutas,wala,pinabayaan ko lang,,,,,,,,,,,,,,,,,,
may iniinom ka bang gamot para sa ubo?,,wala,oo,hindi ko alam,,,,,,,,,,,,,,,,,,,,
may iniinom ka bang gamot para sa ubo?,wala,loviscol,robitussin,lagundi,ambroxol,,,,,,,,,,,,,,,,,,,
kailan ka huling nagkaubo?,ngayon,kahapon,nung isang araw,nung isang linggo,nakaraang taon,hindi ko alam,matagal na,,,,,,,,,,,,,,,,,
madalas ka bang magka-ubo?,madalas,hindi,minsan lang,ewan ko,hindi ko alam,,,,,,,,,,,,,,,,,,,
"anu ang ginagawa mo para mawala ang iyong ubo? (umiinom ng maraming tubig, kumakain ng prutas na may bitamin c, paginom ng bitamin c, pahinga at tulog)",umiinom ng maraming tubig,kumakain ng prutas na may bitamin c,umiinom ng bitamin c,nagpapahinga at natutulog,umiinom ng gamot,sumisipsip ng menthol kendi,,,,,,,,,,,,,,,,,,
anong gamot ang iniinom mo kapag ikaw ay may ubo?,robitussin,loviscol,ambroxol,nakalimutan ko na,hindi ko alam,,,,,,,,,,,,,,,,,,,
ikaw ba ay may sipon?,sipon,oo,wala,wala naman,,,,,,,,,,,,,,,,,,,,
kailan ito nagsimula?,ngayon,kahapon,nung isang araw,nung isang linggo,nakalimutan ko na,hindi ko alam,,,,,,,,,,,,,,,,,,
ilang araw ka na sinisipon?,tatlong araw,apat na araw,tatlong  araw,dalawang araw,isang araw,,,,,,,,,,,,,,,,,,,
ano ang itsura ng iyong sipon?,dilaw,berde,walang kulay,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,
nilalagnat ka rin ba at inuubo?,oo,nilalagnat at inuubo,nilalagnat lang,inuubo lang,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,
"ano ang ginagawa mo para mawala ang iyong sipon? (umiinom ng maraming tubig, kumain ng prutas na may bitamin c, pag-inom ng bitamin c, pahinga at tulog)",umiinom ng maraming tubig,kumakain ng prutas na may bitamin c,umiinom ng bitamin c,pahinga,natutulog,hindi ko alam,wala,hinahayaan ko lang,,,,,,,,,,,,,,,,
may iniinom ka ba na gamut para sa iyong sipon?,wala,meron,nakalimutan ko na,wala,,,,,,,,,,,,,,,,,,,,
"kung oo, anong gamot ito?",cetirizine,ascep syrup,disudrin,,,,,,,,,,,,,,,,,,,,,
kailan ang huling beses na nagkasipon ka?,ngayon lang,kahapon,nung isang araw,nung isang linggo,isang taon pa,wala,hindi ko alam,,,,,,,,,,,,,,,,,
lagi ka bang may sipon?,,hindi po,wala po,madalas po,minsan po,,,,,,,,,,,,,,,,,,,
"ano ang ginagawa mo para mawala ang iyong sipon? (umiinom ng maraming tubig, kumain ng prutas na may bitamin c, pag-inom ng bitamin c, pahinga at tulog)",umiinom ng maraming tubig,kumakain ng prutas na may bitamin c,umiinom ng bitamin c,pahinga,natutulog,hindi ko alam,wala,hinahayaan ko lang,,,,,,,,,,,,,,,,
anong gamot ang iniinom mo kapag ikaw ay may sipon?,cetirizine,ascep syrup,disudrin,,,,,,,,,,,,,,,,,,,,,
ikaw ba ay may lagnat?,oo,wala,hindi ko alam,,,,,,,,,,,,,,,,,,,,,
kailan ito nagsimula?,ngayon lang,kahapon,nung isang araw,nung isang linggo,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,
ilang araw ka na may lagnat?,apat na araw,tatlong araw,dalawang araw,isang araw,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,
